hanzi,pinyin,definition,frequency,HSKlevel,state
害,hài,"injure, harm; destroy, kill",579,3,2
斗,dòu,Chinese peck; liquid measure,580,5,1
双,shuāng,"set of two, pair, couple; both",581,3,2
境,jìng,"boundary, frontier; area, region",582,3,2
客,kè,"guest, traveller; customer",583,1,2
纪,jì,"record, annal, historical account",584,4,2
采,cǎi,"collect, gather; pick, pluck",585,5,1
举,jǔ,"raise, lift up; recommend",586,4,2
杀,shā,"kill, slaughter, murder; hurt",587,5,1
攻,gōng,"attack, assault; criticize",588,6,0
父,fù,father; KangXi radical 88,589,4,2
苏,sū,,590,6,0
密,mì,"dense, thick, close; intimate",591,4,1
低,dī,"low; to lower, hang, bend, bow",592,4,1
朝,cháo,dynasty; morning,593,5,1
友,yǒu,"friend, companion; fraternity",594,1,2
诉,sù,accuse; sue; inform; narrate,595,2,2
止,zhǐ,"stop, halt, desist; detain",596,4,2
细,xì,"fine, tiny; slender, thin",597,4,2
愿,yuàn,"sincere, honest, virtuous",598,3,2
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",599,2,2
值,zhí,price,600,4,2
仍,réng,"yet, still, as ever; again; keep -ing, continuing",601,4,2
男,nán,"male, man; son; baron; surname",602,2,2
钱,qián,"money, currency, coins",603,1,2
破,pò,"break, ruin, destroy; rout",604,4,2
网,wǎng,net; network; KangXi radical 122,605,3,2
热,rè,hot; heat; fever; restless; zeal,606,1,2
助,zhù,"help, aid, assist",607,2,2
倒,dào,fall over; lie down; take turns,608,4,2
育,yù,"produce, give birth to; educate",609,3,2
属,shǔ,"class, category, type; belong to",610,5,0
坐,zuò,"sit; seat; ride, travel by",611,1,2
帝,dì,"supreme ruler, emperor; god",612,6,1
限,xiàn,"boundary, limit, line",613,5,1
船,chuán,"ship, boat, vessel",614,3,2
脸,liǎn,face; cheek; reputation,615,3,2
职,zhí,"duty, profession; office, post",616,4,2
速,sù,"quick, prompt, speedy",617,4,2
刻,kè,"carve, engrave; quarter hour",618,3,2
乐,lè,"happy, glad; enjoyable; music",619,2,2
否,fǒu,"not, no, negative; final particle",620,4,2
刚,gāng,"hard, tough, rigid, strong",621,3,2
威,wēi,"pomp, power; powerful; dominate",622,5,0
毛,máo,"hair, fur, feathers; coarse",623,4,2
状,zhuàng,form; appearance; shape; official,624,5,1
率,lǜ,to lead; ratio; rate; limit,625,5,0
甚,shén,great extent; considerably,626,4,2
独,dú,"alone, single, solitary, only",627,5,1
球,qiú,"ball, sphere, globe; round",628,2,2
般,bān,"sort, manner, kind, category",629,3,2
普,pǔ,"universal, general, widespread",630,4,2
怕,pà,"to fear, be afraid of; apprehensive",631,3,2
弹,dàn,"pellet, bullet, shot, shell",632,4,1
校,xiào,school; military field officer,633,1,2
苦,kǔ,"bitter; hardship, suffering",634,4,2
创,chuàng,"establish, create; knife cut",635,5,1
假,jiǎ,"falsehood, deception; vacation",636,3,2
久,jiǔ,"long time (ago); time passage, grow late",637,3,2
错,cuò,"error, blunder, mistake; wrong",638,2,2
承,chéng,"inherit, receive; succeed",639,5,1
印,yìn,"print, seal, stamp, chop, mark",640,4,2
晚,wǎn,"night, evening; late",641,2,2
兰,lán,"orchid; elegant, graceful",642,,1
试,shì,"test, try, experiment",643,2,2
股,gǔ,"thighs, haunches, rump; share",644,5,0
拿,ná,"take, hold, grasp; bring; with",645,3,2
脑,nǎo,brain,646,1,2
预,yù,"prepare, arrange; in advance",647,4,2
谁,shuí,who? whom? whose? anyone?,648,1,2
益,yì,"profit, benefit; advantage",649,5,0
阳,yáng,,650,3,2
若,ruò,"if, supposing, assuming; similar",651,6,0
哪,nǎ,which? where? how?,652,1,2
微,wēi,"small, prefix micro-, trifling",653,4,2
尼,ní,Buddhist nun; transliteration,654,,2
继,jì,"continue, maintain, carry on",655,4,1
送,sòng,"see off, send off; dispatch, give",656,2,2
急,jí,"quick, quickly; urgent, pressing",657,3,2
血,xuè,blood; radical number 143,658,5,2
惊,jīng,"frighten, surprise, startle",659,4,2
伤,shāng,"wound, injury; fall ill from",660,4,2
素,sù,white (silk); plain; vegetarian; formerly; normally,661,5,2
药,yào,leaf of Dahurian angelica plant; medicine,662,2,2
适,shì,"go, reach; appropriate, suitable",663,4,2
波,bō,"waves, breakers; undulations",664,6,0
夜,yè,"night, dark; in night; by night",665,5,1
省,shěng,"province; save, economize",666,4,2
初,chū,"beginning, initial, primary",667,5,1
喜,xǐ,"like, love, enjoy; joyful thing",668,1,2
卫,wèi,"guard, protect, defend",669,4,2
源,yuán,"spring; source, head; surname",670,5,0
食,shí,eat; meal; food; KangXi radical number 184,671,5,1
险,xiǎn,"narrow pass, strategic point",672,4,2
待,dài,"treat, entertain, receive; wait",673,5,1
述,shù,"narrate, state, express",674,5,0
陆,lù,"land, continental; army",675,5,0
习,xí,practice; flapping wings,676,1,2
置,zhì,"place, lay out; set aside",677,5,0
居,jū,"live, dwell, reside, sit",678,3,2
劳,láo,"labor, toil, do manual work",679,5,0
财,cái,"wealth, valuables, riches",680,5,1
环,huán,jade ring or bracelet; ring,681,3,2
排,pái,"row, rank, line",682,4,2
福,fú,"happiness, good fortune, blessing",683,4,2
纳,nà,"admit, take, receive, accept",684,5,0
欢,huān,"happy, pleased, glad; joy; enjoy",685,1,2
雷,léi,thunder,686,5,0
警,jǐng,"guard, watch; alert, alarm",687,4,2
获,huò,"obtain, get, receive; seize",688,4,2
模,mó,"model, standard, pattern; copy",689,5,0
充,chōng,"fill, be full, supply",690,5,1
负,fù,"load, burden; carry, bear",691,4,2
云,yún,"say, speak; clouds",692,4,2
停,tíng,"stop, suspend, delay; suitable",693,4,2
木,mù,"tree; wood, lumber; wooden",694,5,2
游,yóu,"to swim; float, drift; wander, roam",695,2,2
龙,lóng,dragon; symbolic of emperor,696,5,1
树,shù,"tree; plant; set up, establish",697,3,2
疑,yí,"doubt, question, suspect",698,4,1
层,céng,"storey, layer, floor, stratum",699,3,2
冷,lěng,"cold, cool; lonely",700,1,2
洲,zhōu,continent; island; islet,701,4,2
冲,chōng,soar; pour boiling water over,702,5,1
射,shè,"shoot, eject, issue forth, emit",703,5,0
略,lüè,"approximately, roughly; outline",704,5,0
范,fàn,surname; bee-like insect,705,5,1
竟,jìng,"finally, after all, at last",706,4,2
句,jù,sentence,707,3,2
室,shì,"room, home, house, chamber",708,2,2
异,yì,"different, unusual, strange",709,6,0
激,jī,"arouse, excite, incite; quickly",710,4,2
汉,hàn,Chinese people; Chinese language,711,1,2
村,cūn,"village, hamlet; uncouth, vulgar",712,5,1
哈,hā,sound of laughter,713,5,2
策,cè,"scheme, plan; to whip; urge",714,6,0
演,yǎn,"perform, put on; exercise",715,4,2
简,jiǎn,"simple, terse, succinct, a letter",716,3,2
卡,kǎ,"card, punch card; calorie",717,3,2
罪,zuì,"crime, sin, vice; evil; hardship",718,6,0
判,pàn,judge; discriminate; conclude,719,4,1
担,dān,"carry, bear, undertake",720,3,2
州,zhōu,"administrative division, state",721,6,1
静,jìng,"quiet, still, motionless; gentle",722,3,2
退,tuì,"step back, retreat, withdraw",723,5,1
既,jì,already; de facto; since; then,724,4,2
衣,yī,"clothes, clothing; cover, skin",725,1,2
您,nín,,726,2,2
宗,zōng,"lineage, ancestry; ancestor, clan",727,6,1
积,jī,"accumulate, store up, amass",728,4,2
余,yú,"I, my, me; surname; surplus",729,5,1
痛,tòng,"pain, ache; sorry, sad; bitter",730,5,2
检,jiǎn,check; examine,731,3,2
差,chà,"to differ; different, wrong; nearly, almost; an officer",732,3,2
富,fù,"abundant, ample; rich, wealthy",733,4,2
灵,líng,"spirit, soul; spiritual world",734,5,0
协,xié,be united; cooperate,735,6,0
角,jiǎo,"horn; angle, corner; point",736,3,2
占,zhàn,divine; observe; versify,737,4,2
配,pèi,"match, pair; equal; blend",738,5,1
征,zhēng,"invade, attack, conquer",739,5,0
修,xiū,study; repair; cultivate,740,4,2
皮,pí,"skin, hide, fur, feather; outer",741,3,2
挥,huī,direct; wipe away; squander,742,5,0
胜,shèng,"victory; excel, be better than",743,5,0
降,jiàng,"descend, fall, drop; lower, down",744,4,1
阶,jiē,"stairs, steps; rank, degree",745,5,0
审,shěn,"examine, investigate; judge",746,6,0
沉,chén,"sink, submerge; addicted to",747,5,0
坚,jiān,"hard, strong, firm; resolute",748,4,2
善,shàn,"good, virtuous, charitable, kind",749,5,0
妈,mā,"mother, mama",750,1,2
刘,liú,"surname; kill, destroy",751,,1
读,dú,"read, study; pronounce",752,1,2
啊,a,exclamatory particle,753,3,2
超,chāo,"jump over, leap over; surpass",754,3,2
免,miǎn,spare; excuse from; evade,755,4,2
压,yā,press; oppress; crush; pressure,756,4,2
银,yín,"silver; cash, money, wealth",757,3,2
买,mǎi,"buy, purchase; bribe, persuade",758,1,2
皇,huáng,"royal, imperial; ruler, superior",759,6,2
养,yǎng,"raise, rear, bring up; support",760,4,2
伊,yī,"third person pronoun; he, she, this, that",761,,0
怀,huái,"bosom, breast; carry in bosom",762,4,2
执,zhí,hold in hand; keep; carry out,763,5,1
副,fù,assist; supplement; assistant,764,6,0
乱,luàn,"confusion, state of chaos, revolt",765,4,2
抗,kàng,"resist, oppose, defy, reject",766,6,0
犯,fàn,"commit crime, violate; criminal",767,6,0
追,zhuī,"pursue, chase after; expel",768,5,0
帮,bāng,"help, assist; defend; shoe upper",769,2,2
宣,xuān,"declare, announce, proclaim",770,5,0
佛,fú,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.),771,5,0
岁,suì,year; age; harvest,772,1,2
航,háng,"sail; navigate; ship, boat",773,4,2
优,yōu,"superior, excellent; actor",774,4,2
怪,guài,"strange, unusual, peculiar",775,3,2
香,xiāng,"fragrant, sweet smelling, incense",776,3,2
著,zhe,manifest; (Cant.) to wear,777,4,2
田,tián,"field, arable land, cultivated",778,6,2
铁,tiě,"iron; strong, solid, firm",779,3,2
控,kòng,"accuse, charge; control",780,5,1
税,shuì,taxes,781,5,0
左,zuǒ,"left; east; unorthodox, improper",782,2,2
右,yòu,right; west; right-wing,783,2,2
份,fèn,"portion, part; duty",784,4,2
穿,chuān,"penetrate, pierce, drill; wear",785,2,2
艺,yì,"art; talent, ability; craft",786,4,2
背,bèi,back; back side; behind; betray,787,5,1
阵,zhèn,"column, row or file of troops",788,5,1
草,cǎo,"grass, straw, thatch, herbs",789,3,2
脚,jiǎo,"leg, foot; base, leg, foundation",790,3,2
概,gài,"generally, approximately",791,4,2
恶,è,"evil, wicked, bad, foul",792,5,1
块,kuài,"piece, lump; dollar",793,1,2
顿,dùn,"pause, stop; bow, kowtow; arrange",794,5,1
敢,gǎn,"to dare, venture; bold, brave",795,4,2
守,shǒu,"defend, protect, guard, conserve",796,5,1
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",797,3,2
岛,dǎo,island,798,5,1
托,tuō,"to hold up with palm; to support, rely on",799,5,0
央,yāng,"center, conclude, run out; beg",800,6,1
户,hù,door; family,801,4,2
烈,liè,"fiery, violent, vehement, ardent",802,5,0
洋,yáng,"ocean, sea; foreign; western",803,4,1
哥,gē,elder brother,804,2,2
索,suǒ,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated",805,5,0
胡,hú,"recklessly, foolishly; wildly",806,5,1
款,kuǎn,"item, article; clause; fund",807,4,1
靠,kào,"lean on, trust, depend on; near",808,5,0
评,píng,"appraise, criticize, evaluate",809,4,2
版,bǎn,printing blocks; edition,810,5,0
宝,bǎo,"treasure, jewel; precious, rare",811,5,1
座,zuò,"seat; stand, base",812,4,2
释,shì,"interprete, elucidate; release",813,4,2
景,jǐng,"scenery, view; conditions",814,4,2
顾,gù,look back; look at; look after,815,3,2
弟,dì,"young brother; junior; i, me",816,2,2
登,dēng,"rise, mount, board, climb",817,4,1
货,huò,"goods, commodities, products",818,4,2
互,hù,"mutually, reciprocally",819,4,2
付,fù,"give, deliver, pay, hand over; entrust",820,4,2
伯,bó,,821,6,0
慢,màn,"slow(ly), leisurely, sluggish",822,2,2
欧,ōu,translit.: Europe; ohm; surname,823,5,1
换,huàn,change,824,3,2
闻,wén,hear; smell; make known; news,825,3,2
危,wēi,"dangerous, precarious; high",826,4,2
忙,máng,"busy, pressed for time; hustling",827,2,2
核,hé,"seed, kernel, core, nut; atom",828,5,0
暗,àn,"dark; obscure; in secret, covert",829,5,0
姐,jiě,"elder sister, young lady",830,1,2
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",831,2,2
坏,huài,"rotten, spoilt, bad, broken down",832,3,2
讨,tǎo,"to discuss; ask for, beg; demand; dun; marry",833,4,2
丽,lì,"beautiful, magnificent, elegant",834,4,2
良,liáng,"good, virtuous, respectable",835,5,0
序,xù,"series, serial order, sequence",836,4,1
升,shēng,"arise, go up; hoist; advance",837,5,1
监,jiān,"supervise, control, direct",838,6,1
临,lín,"draw near, approach; descend",839,5,0
亮,liàng,"bright, brilliant, radiant, light",840,1,2
露,lù,"dew; bare, open, exposed",841,6,1
永,yǒng,"long, perpetual, eternal, forever",842,4,2
呼,hū,"breathe sigh, exhale; call, shout",843,4,1
味,wèi,"taste, smell, odor; delicacy",844,4,2
野,yě,"open country, field; wilderness",845,6,0
架,jià,"rack, stand, prop; prop up",846,5,2
域,yù,"district, region, boundary; land",847,5,0
沙,shā,"sand, gravel, pebbles; granulated",848,4,2
掉,diào,"turn, move; shake, wag; drop down",849,4,2
括,kuò,"include, embrace, enclose",850,5,1
舰,jiàn,warship,851,6,0
鱼,yú,fish; surname; KangXi radical 195,852,2,2
杂,zá,"mixed, blended; mix, mingle",853,4,2
误,wù,"err, make mistake; interfere",854,4,2
湾,wān,"bay, cove, inlet, bend of stream",855,6,0
吉,jí,"lucky, propitious, good",856,6,0
减,jiǎn,"decrease, subtract, diminish",857,4,2
编,biān,"knit, weave; arrange; compile",858,5,1
楚,chǔ,name of feudal state; clear,859,3,2
肯,kěn,"willing; consent to, permit",860,4,2
测,cè,"measure, estimate, conjecture",861,5,0
败,bài,"be defeated, decline, fail",862,4,2
屋,wū,"house; room; building, shelter",863,5,2
跑,pǎo,"run, flee, leave in hurry",864,2,2
梦,mèng,dream; visionary; wishful,865,4,2
散,sàn,"scatter, disperse, break up",866,4,2
温,wēn,lukewarm,867,4,2
困,kùn,"to surround, beseige; to be surrounded; difficult",868,4,2
剑,jiàn,"sword, dagger, saber",869,6,0
渐,jiàn,gradually,870,5,0
封,fēng,"letter, envelope; feudal",871,4,2
救,jiù,"save, rescue, relieve; help, aid",872,5,0
贵,guì,"expensive, costly, valuable",873,2,2
枪,qiāng,"spear, lance; gun, rifle",874,5,0
缺,quē,"be short of, lack; gap, deficit",875,4,2
楼,lóu,building of two or more stories,876,3,2
县,xiàn,"county, district, subdivision",877,5,1
尚,shàng,"still, yet; even; fairly, rather",878,5,0
毫,háo,fine hair; measure of length,879,5,0
移,yí,"change place, shift; move about",880,5,0
娘,niáng,mother; young girl; woman; wife,881,5,1
朋,péng,"friend, pal, acquaintance",882,1,2
画,huà,"a painting, picture, drawing; to draw",883,3,2
班,bān,"class, group, grade; squad; job",884,2,2
智,zhì,"wisdom, knowledge, intelligence",885,5,0
亦,yì,"also, too; likewise",886,6,0
耳,ěr,"ear; merely, only; handle",887,3,2
恩,ēn,"kindness, mercy, charity",888,6,0
短,duǎn,"short; brief; deficient, lacking",889,3,2
掌,zhǎng,"palm of hand, sole of foot, paw",890,5,0
恐,kǒng,"fear; fearful, apprehensive",891,4,2
遗,yí,lose; articles lost; omit,892,5,0
固,gù,"to become solid, solidify; strength",893,5,0
席,xí,seat; mat; take seat; banquet,894,5,0
松,sōng,pine tree; fir tree,895,4,2
秘,mì,"secret, mysterious, abstruse",896,5,1
谢,xiè,thank; decline,897,1,2
鲁,lǔ,"foolish, stupid, rash; vulgar",898,6,0
遇,yù,"meet, come across, encounter",899,3,2
康,kāng,"peaceful, quiet; happy, healthy",900,3,2
虑,lǜ,"be concerned, worry about",901,4,2
幸,xìng,"luck(ily), favor, fortunately",902,4,2
均,jūn,"equal, even, fair; all, also",903,5,0
销,xiāo,"melt, fuse; market, sell",904,5,0
钟,zhōng,clock; bell,905,1,2
诗,shī,"poetry; poem, verse, ode",906,5,1
藏,cáng,"hide, conceal; hoard, store up",907,5,0
赶,gǎn,"pursue, follow; expel, drive away",908,4,2
剧,jù,"theatrical plays, opera, drama",909,4,2
票,piào,slip of paper or bamboo; ticket,910,2,2
损,sǔn,diminish; impair; injure,911,5,1
忽,hū,"suddenly, abruptly; neglect",912,5,0
巨,jù,"large, great, enormous; chief",913,5,1
炮,pào,"large gun, cannon; artillery",914,5,1
旧,jiù,"old, ancient; former, past",915,3,2
端,duān,"end, extreme; head; beginning",916,6,0
探,tàn,"find, locate; search, grope for",917,6,0
湖,hú,"a lake; Hubei, Hunan; bluish-green",918,6,1
录,lù,"copy, write down, record",919,5,1
叶,yè,"to harmonize, to rhyme; to unite; (borrowed for) leaf",920,4,2
春,chūn,spring; wanton,921,3,2
乡,xiāng,country; rural; village,922,5,1
附,fù,"adhere to, append; rely on near to",923,3,2
吸,xī,"inhale, suck in; absorb; attract",924,4,1
予,yǔ,"I, me; to give",925,6,0
礼,lǐ,social custom; manners; courtesy,926,3,2
港,gǎng,"port, harbor; small stream; bay",927,6,1
雨,yǔ,rain; rainy; KangXi radical 173,928,1,2
呀,ya,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,929,4,2
板,bǎn,"plank, board; iron or tin plate",930,3,2
庭,tíng,courtyard; spacious hall or yard,931,5,1
妇,fù,married women; woman; wife,932,5,0
归,guī,"return; return to, revert to",933,5,0
睛,jīng,eyeball; pupil of eye,934,2,2
饭,fàn,"cooked rice; food, meal",935,1,2
额,é,"forehead; tablet, plaque; fixed",936,6,0
含,hán,hold in mouth; cherish; contain,937,5,0
顺,shùn,"obey, submit to, go along with",938,4,2
输,shū,"transport, carry, haul",939,4,2
摇,yáo,"wag, swing, wave; shake; scull",940,5,0
招,zhāo,"beckon, summon; recruit, levy",941,4,1
婚,hūn,"get married; marriage, wedding",942,3,2
脱,tuō,take off,943,4,1
补,bǔ,"mend, patch, fix, repair, restore",944,5,1
谓,wèi,"say, tell; call, name; be called",945,5,0
督,dū,"supervise, oversee, direct",946,6,0
毒,dú,"poison, venom; poisonous",947,5,1
油,yóu,"oil, fat, grease, lard; paints",948,4,2
疗,liáo,"be healed, cured, recover",949,5,0
旅,lǚ,"trip, journey; travel; traveler",950,2,2
泽,zé,"marsh, swamp; grace, brilliance",951,6,0
材,cái,"material, stuff; timber; talent",952,4,2
灭,miè,"extinguish; wipe out, exterminate",953,6,0
逐,zhú,"chase, expel; one by one",954,5,0
莫,mò,"do not, is not, can not; negative",955,6,1
笔,bǐ,writing brush; write; stroke,956,2,2
亡,wáng,"death, destroyed; lose, perish",957,6,2
鲜,xiān,fresh; delicious; attractive,958,3,2
词,cí,"words; phrase, expression",959,3,2
圣,shèng,"holy, sacred",960,6,2
择,zé,"select, choose, pick out",961,3,2
寻,xún,"seek, search, look for; ancient",962,5,0
厂,chǎng,"factory, workshop; radical 27",963,5,2
睡,shuì,"sleep, doze",964,1,2
博,bó,"gamble, play games; wide, broad",965,4,2
勒,lēi,"strangle, tighten",966,,0
烟,yān,"smoke, soot; opium; tobacco, cigarettes",967,4,2
授,shòu,"give to, transmit; confer",968,4,2
诺,nuò,"promise; assent, approve",969,6,0
伦,lún,normal human relationships,970,6,2
岸,àn,"bank, shore; beach, coast",971,5,0
奥,ào,"mysterious, obscure, profound",972,6,1
唐,táng,Tang dynasty; Chinese,973,6,1
卖,mài,sell; betray; show off,974,2,2
俄,é,"sudden(ly), soon; Russian",975,,1
炸,zhà,to fry in oil; to scald; to explode,976,5,0
载,zài,"load; carry; transport, convey",977,5,2
洛,luò,river in Shanxi province; city,978,,0
健,jiàn,"strong, robust, healthy; strength",979,3,2
堂,táng,hall; government office,980,6,1
旁,páng,"side; by side, close by, near",981,2,2
宫,gōng,palace,982,6,2
喝,hē,"drink; shout, call out",983,1,2
借,jiè,borrow; lend; make pretext of,984,3,2
君,jūn,"sovereign, monarch, ruler, chief, prince",985,6,1
禁,jìn,"restrict, prohibit, forbid",986,4,2
阴,yīn,,987,2,2
园,yuán,"garden; park, orchard",988,3,2
谋,móu,"plan, scheme; strategem",989,6,0
宋,sòng,Song dynasty; surname,990,,0
避,bì,avoid; turn aside; escape; hide,991,5,0
抓,zhuā,"scratch; clutch, seize, grab",992,5,1
荣,róng,"glory, honor; flourish, prosper",993,5,0
姑,gū,,994,5,1
孙,sūn,"grandchild, descendent; surname",995,4,2
逃,táo,"escape, flee; abscond, dodge",996,5,1
牙,yá,"tooth, molars, teeth; serrated",997,3,2
束,shù,"bind, control, restrain; bale",998,3,2
跳,tiào,"jump, leap, vault, bounce; dance",999,2,2
顶,dǐng,"top, summit, peak; to carry on the head",1000,5,0
玉,yù,"jade, precious stone, gem",1001,5,1
镇,zhèn,"town, market place; suppress",1002,6,0
雪,xuě,"snow; wipe away shame, avenge",1003,2,2
午,wǔ,noon; 7th terrestrial branch,1004,1,2
练,liàn,"to practice, drill, exercise, train",1005,3,2
迫,pò,"coerce, force, compel; urgent",1006,5,0
爷,yé,"father, grandfather",1007,3,2
篇,piān,"chapter, section, essay, article",1008,4,2
肉,ròu,flesh; meat; KangXi radical 130,1009,2,2
嘴,zuǐ,"mouth, lips",1010,3,2
馆,guǎn,public building,1011,2,2
遍,biàn,"everywhere, all over, throughout",1012,4,2
凡,fán,"all, any, every; ordinary, common",1013,6,0
础,chǔ,"foundation stone, plinth",1014,4,1
洞,dòng,"cave, grotto; ravine; hole",1015,5,0
卷,juǎn,scroll; curl; make a comeback,1016,5,1
坦,tǎn,"flat, smooth; self-possessed",1017,5,0
牛,niú,"cow, ox, bull; KangXi radical93",1018,2,2
宁,níng,"calm, peaceful, serene; healthy",1019,5,0
纸,zhǐ,paper,1020,2,2
诸,zhū,"various, all, these; surname",1021,6,0
训,xùn,"teach, instruct; exegesis",1022,5,0
私,sī,"private, personal; secret",1023,5,0
庄,zhuāng,"village, hamlet; villa, manor",1024,6,1
祖,zǔ,"ancestor, forefather; grandfather",1025,6,0
丝,sī,silk; fine thread; wire; strings,1026,5,1
翻,fān,"flip over, upset, capsize",1027,4,2
暴,bào,"violent, brutal, tyrannical",1028,6,1
森,sēn,forest; luxuriant vegetation,1029,4,2
塔,tǎ,"tower, spire, tall building",1030,6,1
默,mò,"silent; quiet, still; dark",1031,4,1
握,wò,"grasp, hold fast, take by hand",1032,5,1
戏,xì,"theatrical play, show",1033,3,2
隐,yǐn,"hide, conceal; hidden, secret",1034,6,1
熟,shú,well-cooked; ripe; familiar with,1035,4,2
骨,gǔ,"bone; skeleton; frame, framework",1036,5,1
访,fǎng,"visit; ask, inquire",1037,5,0
弱,ruò,"weak; fragile, delicate",1038,5,0
蒙,méng,cover; ignorant; suffer; mongolia,1039,6,0
歌,gē,"song, lyrics; sing, chant; praise",1040,2,2
店,diàn,"shop, store; inn, hotel",1041,1,2
鬼,guǐ,ghost; spirit of dead; devil,1042,5,1
软,ruǎn,"soft, flexible, pliable; weak",1043,5,1
典,diǎn,"law, canon; documentation; classic, scripture",1044,3,2
欲,yù,"desire, want, long for; intend",1045,6,0
萨,sà,Buddhist gods or immortals,1046,,0
伙,huǒ,"companion, colleague; utensils",1047,4,1
遭,zāo,"come across, meet with, encounter",1048,6,0
盘,pán,"tray, plate, dish; examine",1049,3,2
爸,bà,"father, papa",1050,1,2
扩,kuò,"expand, enlarge, stretch",1051,5,0
盖,gài,"cover, hide, protect",1052,5,0
弄,nòng,"do, play or fiddle with; alley",1053,4,2
雄,xióng,male of species; hero; manly,1054,5,0
稳,wěn,"stable, firm, solid, steady",1055,5,0
忘,wàng,"forget; neglect; miss, omit",1056,3,2
亿,yì,hundred million; many,1057,5,1
刺,cì,"stab; prick, irritate; prod",1058,5,0
拥,yōng,"embrace, hug, squeeze; crowd",1059,5,0
徒,tú,"disciple, follower; go on foot",1060,6,0
姆,mǔ,,1061,6,1
杨,yáng,"willow, poplar, aspen; surname",1062,,0
齐,qí,"even, uniform, of equal length",1063,5,1
赛,sài,"compete, contend; contest, race",1064,3,2
趣,qù,,1065,3,2
曲,qū,"crooked, bent; wrong, false",1066,6,0
刀,dāo,knife; old coin; measure,1067,4,2
床,chuáng,"bed, couch; framework, chassis",1068,2,2
迎,yíng,"receive, welcome, greet",1069,3,2
冰,bīng,ice; ice-cold,1070,3,2
虚,xū,FALSE,1071,5,0
玩,wán,"play with, joke, enjoy",1072,2,2
析,xī,split wood; break apart; divide,1073,5,0
窗,chuāng,window,1074,4,2
醒,xǐng,wake up; sober up; startle,1075,4,2
妻,qī,wife,1076,2,2
透,tòu,"penetrate, pass through",1077,5,0
购,gòu,"buy, purchase; hire",1078,4,1
替,tì,"change, replace, substitute for",1079,5,1
塞,sāi,"stop up, block, seal, cork; pass, frontier; fortress",1080,6,0
努,nǔ,"to exert, strive, make an effort; to pout",1081,3,2
休,xiū,"rest, stop; retire; do not!",1082,2,2
虎,hǔ,"tiger; brave, fierce; surname",1083,4,2
扬,yáng,"scatter, spread; praise",1084,4,2
途,tú,"way, road, path, journey; course",1085,5,0
侵,qīn,"invade, encroach upon, raid",1086,6,0
刑,xíng,"punishment, penalty; law",1087,6,0
绿,lǜ,green; chlorine,1088,3,2
兄,xiōng,elder brother,1089,5,1
迅,xùn,"quick, hasty, rapid, sudden",1090,5,0
套,tào,"case, cover, wrapper, envelope",1091,5,1
贸,mào,"trade, barter; mixed; rashly",1092,5,1
毕,bì,"end, finish, conclude; completed",1093,4,2
唯,wéi,only; yes,1094,5,0
谷,gǔ,"valley, gorge, ravine",1095,6,1
轮,lún,"wheel; revolve, turn; recur",1096,5,0
库,kù,"armory, treasury, storehouse",1097,5,0
迹,jī,"traces, impressions, footprints",1098,5,1
尤,yóu,"especially, particularly",1099,4,2
竞,jìng,"contend, vie, compete",1100,4,2
街,jiē,"street, road, thoroughfare",1101,3,2
促,cù,"urge, press, hurry; close",1102,5,0
延,yán,"delay, postpone, defer",1103,5,0
震,zhèn,"shake, quake, tremor; excite",1104,5,0
弃,qì,"reject, abandon, discard",1105,4,2
甲,jiǎ,"armor, shell; fingernails; 1st heavenly stem",1106,5,1
伟,wěi,"great, robust; extraordinary",1107,5,1
麻,má,"hemp, jute, flax; sesame",1108,4,2
川,chuān,"stream, river; flow; boil",1109,6,1
申,shēn,"to state to a superior, report; extend; 9th terrestrial branch",1110,4,2
缓,huǎn,"slow, leisurely; to postpone, delay",1111,5,0
潜,qián,"hide; hidden, secret, latent",1112,6,0
闪,shǎn,"flash; avoid, dodge, evade",1113,5,0
售,shòu,sell,1114,4,1
灯,dēng,"lantern, lamp",1115,3,2
针,zhēn,needle; pin; tack; acupuncture,1116,4,2
哲,zhé,"wise, sagacious; wise man, sage",1117,5,1
络,luò,"enmesh, wrap around; web, net",1118,5,0
抵,dǐ,"resist, oppose; deny; off-set",1119,6,0
朱,zhū,"cinnabar, vermilion; surname",1120,,0
埃,āi,"fine dust, dirt",1121,,0
抱,bào,"embrace, hold in arms, enfold",1122,4,2
鼓,gǔ,"drum; beat, top, strike",1123,4,2
植,zhí,"plant, trees, plants; grow",1124,4,1
纯,chún,"pure, clean, simple",1125,5,0
夏,xià,"summer; great, grand, big",1126,3,2
忍,rěn,"endure, bear, suffer; forbear",1127,5,0
页,yè,"page, sheet, leaf; rad. no. 181",1128,4,2
杰,jié,"hero; heroic, outstanding",1129,6,0
筑,zhù,ancient lute; build,1130,5,0
折,zhé,"break off, snap; bend",1131,4,2
郑,zhèng,,1132,6,0
贝,bèi,"sea shell; money, currency",1133,5,1
尊,zūn,"respect, revere, venerate; honor",1134,4,2
吴,wú,name of warring state; surname,1135,,0
